,ºÐ·ù,¸íÄª,À§µµ,°æµµ
199,CCTV,¿ª»ïµ¿ 641,37.503291,127.034897
200,CCTV,¿ª»ïµ¿ 827-24,37.495487,127.03171200000001
201,CCTV,¿ª»ïµ¿ 831-12,37.493426,127.030879
202,CCTV,¿ª»ïµ¿ 710,37.502181,127.04482
203,CCTV,¿ª»ïµ¿ 713,37.502809,127.049402
204,CCTV,¿ª»ïµ¿ 781-5,37.512131,127.03756100000001
205,CCTV,¿ª»ïµ¿ 771-14,37.496869000000004,127.042934
206,CCTV,¿ª»ïµ¿ 728-45 (Çö´ëÀÌ½ºÆ®ºô),37.498526,127.040803
207,CCTV,¿ª»ïµ¿ 770-18,37.496035,127.041276
208,CCTV,¿ª»ïµ¿ 645-3,37.501886,127.033707
209,CCTV,¿ª»ïµ¿ 606-12,37.505993,127.033875
210,CCTV,¿ª»ïµ¿ 827-3,37.496719,127.03072
211,CCTV,¿ª»ïµ¿ 749-19,37.49599,127.03562600000001
212,CCTV,¿ª»ïµ¿ 693,37.507796,127.04311200000001
213,CCTV,¿ª»ïµ¿ 638,37.502660999999996,127.033147
214,CCTV,¿ª»ïµ¿ 631-13,37.502179,127.032579
215,CCTV,¿ª»ïµ¿ 637-14,37.501244,127.03240100000001
216,CCTV,¿ª»ïµ¿ 830-13,37.494763,127.03215800000001
217,CCTV,¿ª»ïµ¿ 666-2,37.504705,127.036639
218,CCTV,¿ª»ïµ¿ 725-32,37.499626,127.04075800000001
219,CCTV,¿ª»ïµ¿ 724-2,37.499269,127.041427
220,CCTV,¿ª»ïµ¿ 770-2,37.496052,127.04059699999999
221,CCTV,¿ª»ïµ¿ 781-33,37.494424,127.04213
222,CCTV,¿ª»ïµ¿ 780-3,37.495398,127.043407
223,CCTV,¿ª»ïµ¿ 795-25 (°­³²±¸ Á¦10È£ °ø¿µÁÖÂ÷Àå ÁÖº¯),37.492443,127.039033
224,CCTV,¿ª»ïµ¿ 707-12 (Å×Çì¶õ¾ÆÀÌÆÄÅ©A»ó°¡ ÁÖº¯),37.502181,127.04482
225,CCTV,¿ª»ïµ¿ 819(¿µÇ³¹®°í ¾Õ),37.49922,127.02781
226,CCTV,¿ª»ïµ¿ 683-33,37.50757,127.045324
227,CCTV,¿ª»ïµ¿ 699-23,37.505275,127.043761
228,CCTV,¿ª»ïµ¿ 760-10 (¹Ì¸²±×¸°ºô¶ó ¾Õ),37.496385,127.046844
229,CCTV,¿ª»ïµ¿ 626-17,37.503788,127.03261
230,CCTV,¿ª»ïµ¿ 660-20,37.505390000000006,127.03709599999999
231,CCTV,¿ª»ïµ¿ 721-28,37.499869,127.042979
232,CCTV,¿ª»ïµ¿ 725-25,37.500484,127.04033799999999
233,CCTV,¿ª»ïµ¿ 702-1(¿ª»ïÁöÇÏº¸µµ ³»),37.50251,127.042772
234,CCTV,¿ª»ïµ¿ 783-16,37.494971,127.044339
235,CCTV,¿ª»ïµ¿ 792-38,37.493998,127.03698999999999
236,CCTV,¿ª»ïµ¿ 795-26 (¿ª»ï¸¶À»¸¶´ç),37.492384,127.038624
237,CCTV,¿ª»ïµ¿ 707-42 (ÇÑ½ÅÀÎÅÍ¹ë¸®24ºôµù ÁÖº¯),37.503007000000004,127.047533
238,CCTV,¿ª»ïµ¿ 832-7,37.491684,127.03086299999998
239,CCTV,¿ª»ïµ¿ 755 (ÀÌ¸¶Æ® ¿ª»ïÁöÁ¡ ÁÖº¯),37.499448,127.047839
240,CCTV,¿ª»ïµ¿ 649-10 (¼­¸²ºôµù ÁÖº¯),37.499148,127.029728
241,CCTV,¿ª»ïµ¿ 719-9,37.501015,127.04025800000001
242,CCTV,¿ª»ïµ¿ 619-23,37.501641,127.02729099999999
243,CCTV,¿ª»ïµ¿ 661-8,37.506303,127.03824099999999
244,CCTV,¿ª»ïµ¿ 683-19,37.508272,127.04426200000002
245,CCTV,¿ª»ïµ¿ 809-12,37.50284,127.02611100000001
246,CCTV,¿ª»ïµ¿ 766-18,37.495777000000004,127.05006200000001
247,CCTV,¿ª»ïµ¿ 644-17,37.500915,127.034548
248,CCTV,¿ª»ïµ¿ 635-1,37.500066,127.030474
249,CCTV,¿ª»ïµ¿ 613-22,37.505412,127.03071499999999
250,CCTV,¿ª»ïµ¿ 776-25,37.494584,127.040761
251,CCTV,¿ª»ïµ¿ 775-29,37.495559,127.04146499999999
252,CCTV,¿ª»ïµ¿ 635-1,37.501634,127.029524
253,CCTV,¿ª»ïµ¿ 647,37.500549,127.03230500000001
254,CCTV,¿ª»ïµ¿ 756-19,37.497678,127.05165900000001
255,CCTV,¿ª»ïµ¿ 791-23,37.494107,127.039046
256,CCTV,¿ª»ïµ¿ 645-29,37.500952000000005,127.034029
257,CCTV,¿ª»ïµ¿ 697-7,37.505767999999996,127.046191
258,CCTV,¿ª»ïµ¿ 700-13,37.504978,127.04252199999999
259,CCTV,¿ª»ïµ¿ 652-5,37.508216,127.03718400000001
260,CCTV,¿ª»ïµ¿ 735-18,37.497878,127.03359499999999
