,ºÐ·ù,¸íÄª,À§µµ,°æµµ
180,ÆíÀÇÁ¡,CU ¼±Á¤¸ª½Ì½ÌÁ¡,37.5090479,127.0440555
181,ÆíÀÇÁ¡,GS25 ¿ª»ï¼º¿ìÁ¡,37.4923487,127.0319943
182,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¼±¸ª½ºÅ¸Á¡,37.5088717,127.0434356
183,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì °­³²¼±¸ªÁ¡,37.5046848,127.0448056
184,ÆíÀÇÁ¡,GS25 ¿ª»ï¼ºº¸Á¡,37.5030366,127.0479111
185,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé ¿ª»ï¸¸³²Á¡,37.4955369,127.0318129
186,ÆíÀÇÁ¡,GS25 °­³²°¶·¯¸®Á¡,37.5068128,127.037784
187,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ï¿ìÀÏÁ¡,37.5068371,127.0413273
188,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÆ¯ÇãÁ¡,37.4958355,127.0322874
189,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïMG½ºÅ¸Á¡,37.50471599999999,127.0482288
190,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì ¿ª»ïÇÏÀÌÃ÷Á¡,37.501247,127.035886
191,ÆíÀÇÁ¡,¶ó¸é±¹¹°ÆíÀÇÁ¡Æ÷Â÷ ¿ª»ïÁ¡,37.5013309,127.0333836
192,ÆíÀÇÁ¡,¼¼ºìÀÏ·¹ºì¿ª»ïÀ£½ºÅä¾î,37.4931358,127.0396637
193,ÆíÀÇÁ¡,CU¼±¸ªÇÑ½ÅÁ¡,37.503206,127.0465684
194,ÆíÀÇÁ¡,¹Ì´Ï½ºÅé°­³²¸ÞÆ®·ÎÁ¡,37.4972496,127.0328393
195,ÆíÀÇÁ¡,CU ¿ª»ïÅ×Çì¶õÁ¡,37.5018682,127.0384944
196,ÆíÀÇÁ¡,GS25 ¿ª»ï´ö¿øÁ¡,37.5006969,127.0323219
197,ÆíÀÇÁ¡,GS25 °­³²¿ª»ïÁ¡,37.5073557,127.0420468
198,ÆíÀÇÁ¡,CU ¿ª»ïÇüÁöÁ¡,37.4944336,127.0396044
