,LINK_NO,RDS_MAN_NO,RN,RN_CD,SP,EP,LUX
1536,LINK_1536,527,테헤란로39길,4166738,"[37.50540584244347, 127.04054884628584]","[37.50584329045832, 127.04034365501234]",56.794
1537,LINK_1537,527,테헤란로39길,4166738,"[37.50584329045832, 127.04034365501234]","[37.506292292429286, 127.03990642374363]",78.568
1538,LINK_1538,527,테헤란로39길,4166738,"[37.506292292429286, 127.03990642374363]","[37.50673768763746, 127.03947268016864]",56.794
1539,LINK_1539,527,테헤란로39길,4166738,"[37.50673768763746, 127.03947268016864]","[37.507276579593075, 127.03894789906845]",52.754
1540,LINK_1540,527,테헤란로39길,4166738,"[37.507276579593075, 127.03894789906845]","[37.507558173849894, 127.03867367013271]",56.794
1541,LINK_1541,528,테헤란로43길,4166739,"[37.50309561865467, 127.04435028370405]","[37.503928469222345, 127.04391485887987]",0.0
1542,LINK_1542,528,테헤란로43길,4166739,"[37.503928469222345, 127.04391485887987]","[37.50423200024268, 127.0437561658576]",43.548
1543,LINK_1543,528,테헤란로43길,4166739,"[37.50423200024268, 127.0437561658576]","[37.50477552225076, 127.0440214331305]",46.131
1544,LINK_1544,528,테헤란로43길,4166739,"[37.50477552225076, 127.0440214331305]","[37.50525687442018, 127.04416302024687]",78.568
1545,LINK_1545,528,테헤란로43길,4166739,"[37.50525687442018, 127.04416302024687]","[37.50578507327425, 127.04431838856605]",28.397
1546,LINK_1546,556,테헤란로44길,4166740,"[37.50309561865467, 127.04435028370405]","[37.502590278394116, 127.04461553646392]",0.0
1547,LINK_1547,556,테헤란로44길,4166740,"[37.502590278394116, 127.04461553646392]","[37.5022633064714, 127.04478705627972]",0.0
1548,LINK_1548,556,테헤란로44길,4166740,"[37.5022633064714, 127.04478705627972]","[37.50170132463754, 127.045837813491]",70.488
1549,LINK_1549,529,테헤란로47길,4166741,"[37.50349255435938, 127.04564514230489]","[37.50433544525526, 127.045238133629]",0.0
1550,LINK_1550,529,테헤란로47길,4166741,"[37.50433544525526, 127.045238133629]","[37.50457706676397, 127.04511388067353]",24.357
1551,LINK_1551,529,테헤란로47길,4166741,"[37.50457706676397, 127.04511388067353]","[37.505343032794144, 127.0457182853593]",102.925
1552,LINK_1552,1719,테헤란로48길,4166742,"[37.50349255435938, 127.04564514230489]","[37.50298842517054, 127.04589281377186]",0.0
1553,LINK_1553,1719,테헤란로48길,4166742,"[37.50298842517054, 127.04589281377186]","[37.5025837210037, 127.04609163984377]",0.0
1554,LINK_1554,544,테헤란로4길,4166743,"[37.498506257599566, 127.02941748067984]","[37.496855755175645, 127.03020015400531]",0.0
